Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
3731101	East SoMa	PL Approved	20-Dec-10	23	The proposed project is the construction of a 4-story, residential building, wtih 23 SRO units, wtih one off-street parking space. The project site is currently a surface parking lot. 		Mixed Use	RED	627	0							2010.0128		26-Feb-10		45-X	RED	26-Feb-10	Resident	-1	23	0							"42 Harriet St
(37.778686999999998, -122.40713100000001)"
3731102	East SoMa	BP Filed	06-Jun-08	4		ERECT A 4 STORIES 4 UNITS RESIDENTIAL DWELLINGS	Mixed Use	RED	627	0								200806063801		06-Jun-08	45-X	RED	06-Jun-08	Resident	0	4	0							"48 Harriet St
(37.778626000000003, -122.407056)"
3749059	Rincon Hill	BP ISSUED	05-Sep-12	224	Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.  	TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.	High Density Residential	RH DTR	732	0	0	0	0	0	0	0	2004.0481	201009140800	19-May-04	14-Sep-10	65-X/ 65/400-	RH DTR	19-May-04	Resident	-1	224	-14000	0	0	-15000	0	1000	0	"45 Lansing St
(37.786042000000002, -122.39385900000001)"
3749064	TB Combo	CONSTRUCTION	06-Dec-12	120	Housing for Chronically homeless	NEW CONSTRUCTION - 8 stories of 120 DU's and future  supportive office(s), retail(s), restaurant(s) 	Industrial	M-1	730	0	0	0	0	0	0	0		201003158191		15-Mar-10	84-X	M-1	15-Mar-10	Resident	-1	120	0	0	0	0	0	0	0	"25 Essex St
(37.786380000000001, -122.395689)"
3732008	East SoMa	BP ISSUED	06-Jul-12	182	"215,300-gsf 9-story 151-u residential mixed use, 151 parking, in two bldgs, requiring CU and Variance, otherwise conforming to RSD; LEED GOLD. Demo warehouse. 0.7 ac site.
"	ERECT A MIXED USE RESIDENTIAL 182 UNITS BUILDING.	Mixed Use	MUR	628	5719	0			0	5719		2007.069	201106017202	24-Jan-08	01-Jun-11	85-X	MUR	24-Jan-08	Mixres	-1	182	-35843			0	-41562	5719		"260 05th St
(37.780718999999998, -122.40402)"
3732009	East SoMa	CONSTRUCTION	11-Dec-12	282	"396,000-gsf 9-story 300-u residential mixed use, 285 parking, in two bldgs, requiring CU and Variance, otherwise conforming to RSD; LEED GOLD. Remove surface parking, 2 billboards. 1.3 ac site.
"	ERECT A MIXED USE RESIDENTIAL 282 UNITS BUILDING.	Mixed Use	MUR	628	6340					6340		2007.0689	201106017208	24-Jan-08	01-Jun-11	85-X	MUR	24-Jan-08	Mixres	-1	282	6340					6340		"900 Folsom St
(37.780261000000003, -122.403606)"
3732087	East SoMa	BP REINSTATED	22-Aug-11	1	Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.	VERTICAL ADDITION IN BUILDING. CONVERT PROPERTY TO RESIDENTIAL. REMODEL EXISTING 2 STORIES. ADD 1 NE	Mixed Use	MUR	628	0	0	0	0	0	0	0	2006.0123	201108112225	06-Apr-06	11-Aug-11	45-X	MUR	06-Apr-06	Resident	-1	1	0	0	0	0	0	0	0	"457 Tehama St
(37.780006999999998, -122.405495)"
3735063	TB Combo	BP Filed	12-Aug-10	0	The proposed project would demolish the existing surface parking lot and construct a 33-story, 432-foot office building. The project would include 6,300 sq. ft. of groundfloor retail, 617,000 sq. ft. of office space, and 75 parking spaces. The gross sq. f	Construction of 25 stories office building with public assembly, food/beverage handling,retail sales	Commercial	C-3-O(SD)	690	400000	393700	0	0	0	6300	0	2006.1106	200711309386	13-Sep-06	30-Nov-07	150-S/350-S	C-3-O(SD)	13-Sep-06	MIPS	-1	0	400000	0	0	393700	0	6300	0	"222 02nd St
(37.786450000000002, -122.39806900000001)"
3736074	TB Combo	PL FILED	15-Oct-12	350	Residential tower project in TCDP Area, 350-du, 54-story bldg, including 250 valet parking spaces, bike storage, in 4-level subsurface garage, with four townhouses, two loading bays and garage entrance on Tehama, replacing surface parking operation.  Prev		Commercial	C-3-O(SD)	730	0							2008.0801		15-Oct-12		200-S	C-3-O(SD)	15-Oct-12	Resident	0	350	0							"41 Tehama St
(37.787269000000002, -122.39631)"
3736114	TB Combo	BP ISSUED	11-May-12	0	309/321 - Modification to previous approval (98.902X) of Foundry Square Building 3. Previous approval would allow the construction of 178,000 gsf office and 7,400 gsf of retail, with a height of 144'. Proposed modification would incorporate adjacent parce	DEMOLITION OF 1 STORY BUILDING (NIGHT CLUB).	Commercial	C-3-O(SD)	730	262018	252500				9518		2008.0001	200809080946	02-Jan-08	08-Sep-08	200-S/350-S	C-3-O(SD)	02-Jan-08	MIPS	-1	0	251788	0	0	252500	-10230	9518	0	"525 Howard St
(37.787930000000003, -122.396586)"
3747019	Rincon Hill	CONSTRUCTION	11-Dec-12	88	The project involves new construction for an eight-story, 88-unit, residential building (132,000 gsf) with three levels of underground residential parking, to replace a one+ story commerical office building (30,417 gsf) in the Rincon area. 	"TO DEMOLISH 2 STORIES WORK SHOP.
"	High Density Residential	RH DTR	767	0	0	0	0	0	0	0	2002.1263	200506246051	09-May-05	17-Aug-05	85/250-R	RH DTR	09-May-05	Resident	-1	88	-30417	0	0	-30417	0	0	0	"333 Fremont St
(37.787635999999999, -122.39290200000001)"
3753081	East SoMa	BP Filed	16-Jul-12	36	Demolition of 2,973-sf one-story office and surface parking and new construction of 37,200-sf 37-unit five-story structure with residential over ground floor retail and 9-space parking.	ERECT NEW 5-STORY TYPE V BUILDING.	Mixed Use	MUR	631	3300	0	0	0	0	3300	0	2005.0876	201207164905	15-Sep-05	16-Jul-12	85-X	MUR	15-Sep-05	Mixres	-1	36	324	0	0	-2976	0	3300	0	"345 06th St
(37.777996000000002, -122.404729)"
3753140	East SoMa	PL Filed	19-Apr-10	13	Demolish existing 18,208 sq.ft. industrial structure and construct 69 residential units, 4,400 sq. ft. of retail/ restaurant and 31 parking spaces. The proposed project would be eight-story, with portions of the building at 40 and 85 feet in height and ap		Mixed Use	MUR	631	4400	0	0	0	0	4400	0	2006.0241		25-May-06		45-X/85-X	MUR	25-May-06	Mixres	0	69	-13808	0	0	0	-18208	4400	0	"935 Folsom St
(37.779603999999999, -122.404006)"
3754042	East SoMa	BP ISSUED	26-Nov-12	3	"The new construction of a four story mixed use building having three dwelling units over a PDR commercial ground floor.  The project is not proposing parking for the three units. Units said ""0""."	DEMOLISH  1 STORE PARKING/STORAGE BLDG.	Mixed Use	MUG	630	1853				1853			2007.1015	200702204428	06-Sep-07	20-Feb-07	45-X	MUG	20-Feb-07	Mixres	-1	3	0				0			"12 Sherman St
(37.777211999999999, -122.406993)"
3756003	WSoMa	PL Approved	06-Dec-12	416	Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf.		Industrial	SLR	598	61700				8700	53000		2007.1035		07-Sep-07		40-X	SLR	07-Sep-07	Mixres	-1	416	56700				3700	53000		"350 08th St
(37.774473999999998, -122.40947)"
3756025	WSoMa	BP Filed	31-May-07	3	Addition to existing 2-story, 2800 sqft, 20-feet in height single-family dwelling with 2-car garage. The addition would add a 3rd and 4th story resulting in a 3-unit, 5,300 sqft building with a 3-car parking garage.	ADD TWO FLOORS WITH TWO RESIDENTIAL-NEW UNITS ON 3RD AND 4TH FLOORS, REMODEL (E) 2ND FLOOR UNIT, REM	Industrial	SLR	598	0							2008.0082	200705312675	17-Jan-08	31-May-07	40-X	SLR	31-May-07	Resident	0	2	0							"56 Ringold St
(37.773975999999998, -122.41046)"
3757045	WSoMa	BP Filed	26-Mar-08	0		VERTICAL ADDITION OF 3RD FLOOR OFFICE SPACE AND MEZZANINE AND INTERIOR RENOVATION TO INCLUDE RESTROO	Industrial	SLI	599	6075	6075							200803268024		26-Mar-08	40-X	SLI	26-Mar-08	MIPS	0	0	2025			2025				"44 Mclea Ct
(37.772120999999999, -122.408823)"
3765015	Rincon Hill	PL APPROVED	16-Aug-05	340	The proposed project involves the demolition of the existing 75,816gsf Bank of America Clock Tower office building and the construction of a 534,500 gsf residential complex including 710 dwelling units and 246 off-street parking spaces.	TO ERECT 63 STORIES, 382 DWELLING UNITS, 2 LEVEL BASEMENTS OF B1 & B1, RESIDENTIAL CONDO.	High Density Residential	RH DTR	981	0	0	0	0	0	0	0	2003.0029		14-Jan-03	21-Dec-04	45/550-R	RH DTR	14-Jan-03	Resident	-1	340	0	0	0	0	0	0	0	"425 First Street
(37.786482999999997, -122.39203500000001)"
3767305	Rincon Hill	PL Approved	14-May-09	113	Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces		High Density Residential	RH DTR	766	0				0			2007.1121		27-Feb-09		84-X	RH DTR	27-Feb-09	Resident	-1	113	-35628				-35628			"429 Beale St
(37.787224000000002, -122.390383)"
3775063	East SoMa	BP APPROVED	08-Feb-11	1	Demolition of one-story light industrial building and construction of 3-story building--two floors of commercial space with residential unit above.	ERECT 1 STORY OF 1 DWELLING UNITS.	Mixed Use	SPD	693	3861	3861	0	0	0	0	0	2005.0418	200504281137	28-Apr-05	28-Apr-05	40-X	SPD	28-Apr-05	Mixres	-1	1	2431	0	0	3861	-1430	0	0	"136 South Park Av
(37.781460000000003, -122.394685)"
3776092	East SoMa	CONSTRUCTION	04-Dec-12	19	The proposed project would demolish the existing 4,130 sq. ft. storage shed and construct a building consisting of 19 SRO units and five parking spaces. The proposed project would be approx. 16,074 sq. ft. five stories, and 50 feet in height. 	TO ERECT A NEW 5 STORY 19 DWELLING UNIT	Industrial	SLI	641	0	0	0	0	0	0	0	2006.1348	200701051074	13-Aug-09	05-Jan-07	55-X	SLI	05-Jan-07	Resident	-1	19	-4130	0	0	0	-4130	0	0	"246 Ritch St
(37.780208000000002, -122.39578)"
3783001	Showpl/Potrero	PL Filed	31-May-12		Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,0		Mixed Use	UMU	605	0							2012.07		31-May-12		68-X	UMU	31-May-12	Vacant	0	557	8000					8000		"801 Brannan St
(37.772950000000002, -122.40322399999999)"
3785003	WSoMa	PL Approved	17-Jun-09	0	Proposed project would demolish the existing office building and its associated parking and construct a new 75 room hotel and 5,000 cafe/bar. The building would be approximately 65 feet in height , 46,000 sq. ft. and would include 27 below-grade parking s		Mixed Use	SSO	925	46000	0	0	0	0	5000	41000	2006.0091		24-Jan-06		65-X	SSO	24-Jan-06	Visitor	-1	0	32500	0	0	-13500	0	5000	41000	"690 05th St
(37.775671000000003, -122.397874)"
3788039	East SoMa	BP Filed	27-Oct-08	0	New construction approx. 69,540-gsf, 4-story, 50' height office building on existing parking lot, with 58-space ground floor parking and street frontage retail space.	ERECT A OFFICE, RESTAURANT & PARKING 4 STORIES BUILDING.	Mixed Use	MUO	694	53030	49500				3530		2007.0385	200810275193	18-Sep-08	27-Oct-08	65-X	MUO	18-Sep-08	MIPS	0	0	53030			49500		3530		"345 Brannan St
(37.780971000000001, -122.392906)"
3789003	East SoMa	BP ISSUED	06-Dec-12	74	76 new construction / mixed	7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.	High Density Residential	SB-DTR	727	0							2007.0894	200705010136		01-May-07	105-F	SB-DTR	01-May-07	Resident	-1	74	0							"72 Townsend St
(37.781143, -122.39009299999999)"
3794014	East SoMa	PL Approved	07-Dec-11		The proposed project would involve the change of use of the project site from warehouse to restaurant and office use.  The change of use would be from the existing 22,884-sq. ft. industrial use to a 16,786-sq. ft. office use with 6,098 sf. ft. of ground f		Mixed Use	MUO	632	28982	16786			0	6098		2011.0135		09-Feb-11		105-F	MUO	09-Feb-11	Mixed	-1	0	6098			16786	-22884	6098		"111 Townsend St
(37.780211000000001, -122.39091500000001)"
3794024	East SoMa	PL APPROVED	07-Apr-11	0	To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).		Mixed Use	MUO	632	49500	0	0	0	0	0	49500	2004.1326		21-Jun-05		105-F	MUO	21-Jun-05	Visitor	-1	0	43845	0	0	0	-5655	0	49500	"144 King St
(37.778734, -122.391289)"
3821007	Showpl/Potrero	BP Filed	22-Jul-11	15	Construction of a five-story, mixed-use building with 15 dwelling units, 15 off-street parking spaces, and 1,155 GSF of ground floor commercial use.  	ERECT 4 STORIES, TYPE 3, 15 PDR UNITS ABOVE RETAIL & GARAGE BLDG.	Industrial	PDR-1-D	651	1155	0	0	0	0	1155	0	2004.1004	201107220904	13-Apr-06	22-Jul-11	68-X	PDR-1-D	13-Apr-06	Mixres	0	15	1155	0	0	0	0	1155	0	"1150 16th Street
(37.766499000000003, -122.398135)"
3834001	Showpl/Potrero	BP ISSUED	07-Sep-12	65	The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow the	ERECT 6 STORY 65 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	Mixed Use	UMU	651	26500	0	0	0	0	26500	0	2003.0527	201112070227	23-Feb-06	07-Dec-11	68-X	UMU	23-Feb-06	Mixres	-1	65	26500	0	0	0	0	26500	0	"1000 16th St
(37.766489999999997, -122.39698799999999)"
3911001	Showpl/Potrero	PL Approved	29-Nov-12	212	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,0	TO ERECT 7 STORIES, 212 DWELLING UNITS OF RESIDENTIAL / SHOWROOMS.	Mixed Use	UMU	571	0							2012.0701	200508170497	31-May-12	17-Aug-05	68-X	UMU	17-Aug-05	Resident	-1	212	15000					15000		"1 Henry Adams St
(37.769666000000001, -122.40386599999999)"
3965001	Mission	BP Filed	24-Aug-12	12	Retain the exisitng three-story, 34-foot, 5,625 sq. ft. retail and office building. Addition and new construction of 12 residential units over ground floor retail. The total project including the existing retail/office uses would be approximately 29,822 s	ERECT 4 STORIES, TYPE 5A (FULLY SPRINKLERED), 12 DWELLING UNITS BLDG.	Mixed Use	UMU	568	7347	3750				3597		2006.0428	201208248160	09-Oct-08	24-Aug-12	68-X	UMU	09-Oct-08	Mixres	-1	12	1722			0		1722		"2401 16th St
(37.765523000000002, -122.410614)"
4218036	Showpl/Potrero	PL Approved	16-Jul-09	3	"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.
Rear Yard Variance
"		Residential	RH-3	152	0							2008.0505		01-May-08		40-X	RH-3	01-May-08	Resident	-1	2	0							"1321 De Haro St
(37.752861000000003, -122.400218)"
3973002C	Mission	PL Filed	04-Oct-12	84	To construct a 6-story building over underground parking at 480 Potrero Avenue between Mariposa & 17th Street.  The new building will have 84 residential units, totaling approx. 85,490 sq. ft. including studio, one bedroom, two bedroom, and three bedroom 		Mixed Use	UMU	209	0					0		2011.043		04-Oct-12		58-X	UMU	04-Oct-12	Resident	0	84	0					0		"480 Potrero Av
(37.763525000000001, -122.407532)"
3980008	Showpl/Potrero	PL Approved	15-Jul-10	41	Demolition of three existing commercial buildings and construction of three mixed-use buildings with 41 residential dwelling units, 4,840 GSF of PDR use, and 57 off-street parking spaces.  		Mixed Use	UMU	544	4840	0	0	0	4840	0	0	2004.0946		22-Dec-05		48-X	UMU	22-Dec-05	Mixres	-1	41	-13369	0	0	-18209	4840	0	0	"1717 17th St
(37.764760000000003, -122.40082700000001)"
4009008A	Showpl/Potrero	CONSTRUCTION	17-Jun-08	2	Variance for reduced parking requirement	1/F-REMOVE (E)UNPERMITTED ROOM,CLOSET & FULL BATH IN 1/F GARAGE.INFILL CANTILEVERED 2ND STORY @NORTHEAST,CORNER OF HOUSE.INFILL (E)LIGHTWELL @1ST STORY.ADD A LEGAL UNIT IN FORMER LOCATION OF UNPERMITTED WORK @REAR OF HOUSE 21'X20'=240SF.ADD 1 HR.RATED COR	Residential	RH-3	543	0	0	0	0	0	0	0	2006.014	200602023655	02-Feb-06	02-Feb-06	40-X	RH-3	02-Feb-06	Resident	-1	1	0	0	0	0	0	0	0	"585 Kansas St
(37.762459999999997, -122.403125)"
4010006	Showpl/Potrero	PL Approved	11-Feb-08	2	Construct a second dwelling unit?		Residential	RH-2	543	0	0	0	0	0	0	0	2006.107		31-Aug-06		40-X	RH-2	31-Aug-06	Resident	-1	1	0	0	0	0	0	0	0	"575 Vermont St
(37.762514000000003, -122.404115)"
4085026	Mission	CONSTRUCTION	02-Nov-12	2		"ERECT 4 STORIES OF 2 DWELLING UNIT,TYPE 5
"	Residential	RH-2	186	0								201012307679		30-Dec-10	40-X	RH-2	30-Dec-10	Resident	-1	2	-3866	0	0	0	-3866	0	0	"857 Alabama St
(37.758215, -122.411297)"
4087037	Mission	BP ISSUED	30-Apr-08	2	The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will n	REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.	Residential	RM-1	186	0	0	0	0	0	0	0	2006.134	200604259790	03-Nov-06	25-Apr-06	40-X	RM-1	25-Apr-06	Resident	-1	1	0	0	0	0	0	0	0	"2219 Bryant St
(37.758713999999998, -122.409543)"
4093007	Showpl/Potrero	BP APPROVED	06-Mar-12	2	Existing 11-foot residential building with 1,250 sqft with off-street parking. Proposed 40-foot 4,700 sqft 2-unit resdential building with 2 off-street parking spaces.	ERECT A 4 STORIES 2 FAMILY DWELLING.	Residential	RH-2	606	0							2007.1484	200805232798	09-Oct-08	23-May-08	40-X	RH-2	23-May-08	Resident	-1	1	0							"838 Kansas St
(37.758980999999999, -122.40316)"
4096005	Showpl/Potrero	CONSTRUCTION	22-Mar-10	2	Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft. 	TO ERECTA NEW 3 STORY 2 DWELLING UNIT	Residential	RH-2	607	0	0	0	0	0	0	0	2005.0613	200506074411	23-Jun-05	07-Jun-05	40-X	RH-2	07-Jun-05	Resident	-1	2	0	0	0	0	0	0	0	"746 Carolina St
(37.759036999999999, -122.40023600000001)"
4102052	Showpl/Potrero	CONSTRUCTION	09-Sep-10	2	Addition to existing 1,087 square foot single-family dwelling, adding one additional unit for a total of 3,000 square feet and 2-units.	NEW 2 CAR GARAGE & STUDIO UNIT 1ST FLOOR, 2 NEW 4 BEDRM RESIDENCES 2ND & 3RD FLS, NEW ROOF DECK	Residential	RH-2	520	0	0	0	0	0	0	0	2006.0689	200606133915	20-Nov-06	13-Jun-06	40-X	RH-2	13-Jun-06	Resident	-1	1	0	0	0	0	0	0	0	"585 Texas St
(37.759002000000002, -122.395066)"
4103036	Showpl/Potrero	PL Approved	23-Jan-09	2	Addition/alteration of existing single-family residence to 2-unit residence.		Residential	RH-2	520	0							2008.1307		25-Nov-08		40-X	RH-2	25-Nov-08	Resident	-1	1	0							"605 Mississippi St
(37.758823999999997, -122.394064)"
4108003F	Central Waterfront	BP ISSUED	19-Dec-12	1	Vacant ot. Construct new 4-story single-family dwelling.	TO ERECT 4 STORY SINGLE FAMILY DWELLING	Mixed Use	UMU	521	0							2010.1082	200911171348	08-Dec-10	17-Nov-09	45-X	UMU	17-Nov-09	Resident	-1	1	2835			2835				"2420 03rd St
(37.758983999999998, -122.388699)"
4143008	Mission	BP ISSUED	12-Mar-09	2		VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR	Residential	RH-2	171	0	0	0	0	0	0	0		200503298688		29-Mar-05	40-X	RH-2	29-Mar-05	Resident	-1	1	0	0	0	0	0	0	0	"948 Hampshire St
(37.756912999999997, -122.40785)"
