APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 4260014	0	BP FILED	06/14/2016	1379 KANSAS ST		2016-008251PRJ	201606149938	2	1	0	0			$175000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/14/2016		EXCAVATE (E) GROUND FL TO CONVERT GRD FLR STORAGE TO HABITABLE STUDIO VERTICAL & HORIZONTAL ADDITION TO ENLARGE (E) KITCHEN & BEDROOM. REMODEL BATH, RELOCATE (E) ENTRY STAIRS & EXCAVATE FOR OFF STREET BIKE STORAGE.	SIROISDA	Under Review	Under Review	Under Review	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.75223822540, -122.40207109900)
APN 4761039	0	BP FILED	11/23/2015	1380 REVERE AV			201511233357	2	2	0	0			$550000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/23/2015		TO ERECT A 3 STORY 2 FAMILY DWLLING RESIDENTIAL BUILDING	JIMENEZS				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.72951334540, -122.38583144800)
APN 5879040	0	BP FILED	04/22/2015	139 SWEENY ST			201504224361	2	1	0	0			$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2015		COMPLY W/ COMPLAINT #201051068, 201401781, 201540913 & 201540932. LEGALIZE DWELLING UNIT AT FIRST FLOOR PER ORDINANCE NO. 43-14.	NKWIATKO				Excelsior		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 9	(37.73271354660, -122.40809803500)
APN 3519017	0	BP FILED	08/19/2015	1394 HARRISON ST		2014	201508194769	68	68	0	0			$5900000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/19/2015		ERECT SIX STORY 68 RESIDENTIAL UNITS AND COMMERCIAL BUILDING. MAHER ORDINANCE-EXTENDED REQUIRED.	DVU	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Western SoMa (EN); South of Market	South of Market	55-X	RCD	REGIONAL COMMERCIAL	SUPERVISORIAL DISTRICT 6	(37.77190640680, -122.41129830400)
APN 4167011	1	BP FILED	12/14/2015	1395 22ND ST		2011	201512145054	256	256	0	0	Fee Payment		$80000000.00	APARTMENTS	47575	47575	0	0	0	0	0	0	47575	47575	0	0	0	0	06/27/2011	The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.	"TO ERECT 8 STORIES, 1 BASEMENT, 256 RESIDNETIAL, INDUSTRIAL BUILDING. 
(R-2,A-3,F-1,S-2)
** MAHER: N/A **"	RSUCRE	Closed	Closed	Closed	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	PDR-1-G	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL	SUPERVISORIAL DISTRICT 10	(37.75620342420, -122.39359366900)
APN 4791025	0	BP FILED	11/20/2015	1395 SHAFTER AV			201511203191	2	1	0	0			$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/20/2015		"LEGALIZE (E) KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. COMPLY WITH NOV #201569101, #201569671, #201567612.
** MAHER: N/A **"	YEUNGMIN				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.72863673460, -122.38702273100)
APN 4761036	0	BP FILED	06/23/2016	1396 REVERE AV		2016-008896PRJ	201606230730	3	1	0	0			$10000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/23/2016		LEGALIZE 3RD UNIT CONSTRUCTED AS PART OF A DUPLEX PER ORD #43-14 INCLUDING KITCHEN	KCONNER	Application Accepted	Application Accepted	Application Accepted	Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.72967318080, -122.38611215100)
APN 3502024	0	PL FILED	09/11/2014	140 DUBOCE AV		2014		17	2	0	0			$200000.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/11/2014	Variance request to the rear yard, open space, and exposure requirements to permit an addition that creates two additional dwelling units.		AA CONV	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Market and Octavia	Mission	50-X	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	SUPERVISORIAL DISTRICT 8	(37.77001322080, -122.42349678300)
APN 3775064	0	BP FILED	04/11/2016	140 SOUTH PARK ST		2016-005034PRJ	201604114475	0	0	0	0			$30000.00	OFFICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/11/2016		"CHANGE OF USE FROM INDUSTRIAL TO 1ST FLOOR RETAIL & 2ND FLOOR OFFICE / BUSINESS. INTERIOR RENOVATION. NEW STORFRONT WINDOWS ON SOUTH ELEVATION. NEW WINDOW REPLACEMENT IN KIND. MEP UPGRADE.
** MAHER: N/A **"	YEUNGMIN	Under Review	Under Review	Under Review	South of Market	Central SoMa; East SoMa (EN); South of Market	South of Market	40-X	SPD	SOMA- SOUTH PARK	SUPERVISORIAL DISTRICT 6	(37.78145710800, -122.39472900400)
APN 3517035	1	BP ISSUED	01/27/2015	1401 HOWARD ST		2011	201501216288	0	0	0	0			$1.00	CHURCH	22060	5000	0	-17060	0	0	18260	18260	0	0	3800	3800	0	0	08/25/2011	The project involves a change of use from a church to office and restaurant, and a seismic upgrade for the entire building.	"CHANGE OF USE. FROM CHURCH TO 18,260 SQ FT OF OFFICE SPACE. 1300SF OF RETAIL SPACE AND 2500SF OF ASSEMBLY SPACE. MAHER ORD N/A.

NO CFC TO BE ISSUED UNTIL ALL REQUIRED ACCESSIBILITY UPGRADES HAVE BEEN COMPLETED UNDER A SEPERATE TENANT IMPROVEMENT PERMIT"	RSUCRE	Closed	Closed	Closed	South of Market	Western SoMa (EN); South of Market	South of Market	55/65-X	RCD	REGIONAL COMMERCIAL	SUPERVISORIAL DISTRICT 6	(37.77356200410, -122.41429882500)
APN 1824001A	0	BP FILED	05/13/2015	1407 29TH AV			201505136221	3	1	0	0			$60000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/13/2015		LEGALIZE AS BUILT UNIT ON 1ST FLOOR PER PLANS (LIVING ROOM, KITCHEN, ONE BATHROOM AND ONE BEDROOM - UNIT LEGALIZATION ORDINANCE 43-14	SETYDIPU				Outer Sunset		Outer Sunset	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 4	(37.76100630560, -122.48791461700)
APN 6566027	0	BP FILED	06/04/2012	1411 CHURCH ST			201206041789	2	1	0	0			$120000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/04/2012		ADD NEW DWELLING UNIT AT GROUND FLOOR. INTERIOR REMODEL AT 2ND FLOOR REAR. ADD NEW BATH & RECONFIGURE BEDROOM ON 3RD FLOOR. NEW 3 STORY ADDITION AT REAR.	JLOOK				Noe Valley		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.74825524280, -122.42678970200)
APN 4829020A	0	BP FILED	06/23/2016	1413 VAN DYKE AV			201606230703	0	0	0	0			$100000.00	WAREHOUSE, FURNITURE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/23/2016		CONSTRUCT (N) 1-STORY WAREHOUSE.					Bayview	Bayview Hunters Point	South Bayshore	40-X	PDR-1-B	PDR LIGHT INDUSTRIAL BUFFER	SUPERVISORIAL DISTRICT 10	(37.72704121200, -122.38921034100)
APN 1840002	0	BP FILED	07/01/2014	1419 FUNSTON AV			201407010196	2	1	0	0			$200000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/01/2014		REMODEL 2ND LEVEL & ADD 2ND UNIT ON 3RD FLOOR INCLUDING KITCHEN AND BATHROOM.	APERRY				Inner Sunset		Inner Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 7	(37.76155436780, -122.47076478500)
APN 5323015A	1	BP ISSUED	05/11/2015	1425 MENDELL ST		2007	200705030367	0	0	0	0			$777000.00	OFFICE	8156	6281	0	0	0	0	6750	4875	0	0	1406	1406	0	0	02/06/2007	Demolish existing commercial building and construct a new 5-story commercial office building with retail on the first floor.	TO ERECT 5 STORIES OFFICE BUILDING.	BFU	Closed	Closed	Closed	Bayview	Bayview Hunters Point	South Bayshore	55-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 10	(37.73427011200, -122.39034461100)
APN 1805006	1	CONSTRUCTION	06/30/2016	1433 48TH AV			201309197251	2	1	0	0			$391000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/19/2013		CONVERT THE (E) TWO STORY SINGLE FAMILY DWELLING INTO TWO NEW DWELLING UNITS. ADD 3RD STORY WITH ROOF DECK @ REAR. ADDITION BEHIND THE (E) AREA @ 1ST & 2ND STORIES. ADD ROOD DECK @2ND FLOOR. RECONFIGARING THE INTERIOR.	JLOOK				Outer Sunset	Western Shoreline	Outer Sunset	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 4	(37.75965832690, -122.50834941700)
APN 0670024	0	PL FILED	09/22/2015	1433 BUSH ST		2015-009279PRJ		47	47	6	6	On-site BMR Project	Ownership	$0.00		2200	-4400	0	0	0	0	0	0	0	0	2200	-4400	0	0	09/22/2015	The proposed project is to demolish an existing one-story commercial building containing an automotive rental use and new construction of a 128-foot tall, 10-soty mixed-use building containing 34 dwelling units, 20 residential parking spaces and 1357 squ		AHUISMAN	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Van Ness Corridor	Downtown	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 3	(37.78836325390, -122.42084130500)
APN 0645014	1	PL APPROVED	10/16/2015	1436 & 1498 POLK ST/ 1567 CALIFORNIA ST		2014		63	63	8	8	On-site BMR Project	Ownership	$0.00		8000	-3746	0	0	0	0	0	0	0	0	8000	-3746	0	0	02/19/2014	The proposed project would demolish an existing two (2) story retail building and associated surface parking area and construct a seven-story, 80 -foot tall mixed-use building with retail shops at ground level and forty-seven (47) dwelling units on 2nd t		AA CONV	Closed	Closed	Closed	Nob Hill		Northeast	80-A	NCD	POLK STREET NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 3	(37.79026564810, -122.42029936300)
APN 4710084	0	BP FILED	03/16/2016	144 CASHMERE ST	40 DEDMAN CT	2015-003067PRJ	201603162149	0	0	0	0			$108000.00	OFFICE	900	900	0	0	0	0	900	900	0	0	0	0	0	0	11/10/2015	New construction of a 900 gsf office building with 2 off-street parking spaces.	ERECT 1 STORY, TYPE V-B, OFFICE BUILDING.	JDISALVO	CUA PENDING	CUA PENDING	CUA PENDING	Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.73747041090, -122.38482340600)
APN 3794024	1	CONSTRUCTION	06/13/2016	144 KING ST		2004	201306280783	0	0	0	0			$17495000.00	TOURIST HOTEL/MOTEL	70000	70000	0	0	0	0	0	0	0	0	0	0	70000	70000	06/21/2005	To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).	ERECT 12 STORIES OF HOTEL for 149 GUESTROOMS & 11 lockoff guest rooms	WHASTIE	Closed	Closed	Closed	South of Market	East SoMa (EN)	South of Market	105-F	MUO	MIXED USE-OFFICE	SUPERVISORIAL DISTRICT 6	(37.77932129600, -122.39094442600)
APN 3589091	1	BP FILED	10/23/2014	144 LEXINGTON ST		2014	201410239774	3	1	0	0			$300000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/11/2014	Variance request to rear yard, substandard lot, and front setback requirements to permit the addition of a third story on an existing two unit residential structure to add an addition one unit.	NEW THIRD FLOOR ADDITION, 2 BEDROOM WITH 1 BATHROOM. EXPANSION OF SECOND FLOOR, AND ROOF DECK ADDITION.	KDURANDE	Closed	Closed	Closed	Mission	Mission (EN)	Mission	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 9	(37.76098620830, -122.42122984600)
APN 3788009A	0	PL FILED	12/18/2015	144 TOWNSEND ST		2015-017998PRJ		0	0	0	0			$0.00		42510	-2817	0	0	0	0	42510	39505	0	0	0	-42322	0	0	12/18/2015	The project proposes to convert and change the existing legal use of the building from 42,322 gsf of self-storage and 3,005 gsf of office space into 100% office building with 42510 gsf of office use of which 3,005 gsf is pre-existing office and 39,505 is		AHUISMAN	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Central SoMa; East SoMa (EN); South of Market	South of Market	65-X	MUO	MIXED USE-OFFICE	SUPERVISORIAL DISTRICT 6	(37.78015132710, -122.39198650300)
APN 0103021	0	PL FILED	06/24/2013	146  JASPER PL		2013		4	2	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/24/2013	Construction of a new two unit residential building		TSHEYNER	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	North Beach		Northeast	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	SUPERVISORIAL DISTRICT 3	(37.80125557920, -122.40879053800)
APN 6941059	1	PL APPROVED	12/23/2015	1441 - 1443 OCEAN AV		2015-014461PRJ		0	0	0	0			$0.00		4665	1995	0	0	4665	4665	0	0	0	0	0	-2670	0	0	10/29/2015	Proposed change of use from (E) restaurant to (N) medical clinic. To include upgrades and renovations. Vertical addition of (N) 2nd and 3rd levels.		VFLORES	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Ocean View	Balboa Park	Ingleside	45-X	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 7	(37.72399918360, -122.45793987200)
APN 1841007	0	BP FILED	01/28/2013	1443 12TH AV			201301288928	2	1	0	0			$9950.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/28/2013		TO COMPLY WITH NOV 201281241 OF VIOLATION. COMPLIANCE/FIRE/EGRESS. ESTABLISHING 1ST FLOOR UNIT. LEGALIZE GROUND FLOOR UNIT.	CNOEL				Inner Sunset		Inner Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 7	(37.76119009020, -122.46966471400)
APN 5324020	0	BP FILED	03/23/2016	1447 OAKDALE AV			201603232845	2	1	0	0			$15000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/23/2016		UNIT LEGALIZATION ORDINANCE 43-14.NEW BATHROOM TO REPLACE (E) BATHROOM TO CORRECT CODE VIOLATION. VENT (E) KITCHEN. OTHER WORK POSSIBLE TO MAKE (E) IN LAW UNIT BUILDT W/O PERMITS CONFORM TO CODE.AS A LEGAL RENTAL IN LAW. PROVIDE (N) FINANCE FOR IN LAW UN	CLARKECO				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.73279355950, -122.38768223300)
APN 6526030	0	PL FILED	03/24/2016	1449 SOUTH VAN NESS AV		2016-003875PRJ		6	2	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/24/2016	Change of use of structure located at the rear of the property (along Virgil St) from garage to residential.  Vertical addition expands the second story residential of the same building creating a two (2) new dwelling units.		JBANALES	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	50-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 9	(37.74999183770, -122.41568987800)
APN 3549064	1	CONSTRUCTION	06/06/2016	1450 15TH ST		2013	201306280738	23	23	0	0	Fee Payment		$5750000.00	APARTMENTS	0	-8224	0	0	0	0	0	0	0	-8224	0	0	0	0	06/28/2013	"The proposed project would demolish an existing 6,088  sq. vacant industrial building on irregular ""L"" shaped parcel and  construct a new multi-family residential structure with 23 dwelling units. The project would also include 16 off-street parking spac"	TO ERECT 5 STORIES, NO BASEMENT, 23 UNITS RESIDENTIAL & PARKING BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **	JPURVIS	Closed	Closed	Closed	Mission	Mission (EN)	Mission	50-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 9	(37.76709156440, -122.41683342200)
APN 0671006	1	CONSTRUCTION	06/28/2016	1450 FRANKLIN ST		2013	200809252660	69	69	9	9	On-site BMR Project		$30860000.00	APARTMENTS	0	-24000	0	0	0	0	0	0	0	0	0	-24000	0	0	09/25/2008		ERECT A 13 STORIES, 1 BASEMENT WITH 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING					Western Addition		Western Addition	130-E	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 2	(37.78805629120, -122.42325307500)
APN 0526014	0	BP FILED	04/28/2016	1450 UNION ST		2016-006589PRJ	201604285888	4	2	0	0			$900000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/28/2016		VERTICAL ADDITION. ADD 2 UNITS, 2 STORY. FILL IN LIGHTWELL, NEW FOUNDATION, INTERIOR RECONFIGURATION & REMODEL, NEW KITCHENS/BATH, FACADE REMODEL, ALL NEW WINDOWS ON FACADE, ALL NEW ELECTRICAL/PLUMBING. SPRINKLER UNDER SEPARATE PERMIT. ** MAHER: N/A **	NORTHEAS	Under Review	Under Review	Under Review	Russian Hill	Van Ness Corridor	Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 2	(37.79893322250, -122.42324312100)
APN 4004034	1	CONSTRUCTION	02/26/2016	1451 MARIPOSA ST			201302250862	3	1	0	0			$66000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/25/2013		LEGALIZE (E) DWELLING UNIT. CHANGE OF USE FROM R-3 TO R-2. PROVIDE (N) SMOKE DETECTORS. REPLACE (E) OUTLETS IN KITCHEN, REPLACE (E) LIGHT FIXTURE IN KITCHEN.  PROVIDE (N) SPRINKLER SYSTEM THROUGHOUT PER NFPA 13.	EJACKSON				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 10	(37.76356714860, -122.39812496000)
APN 1835010	0	BP FILED	10/16/2015	1453 18TH AV			201510169913	3	1	0	0			$75500.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/16/2015		LEGALIZE EXISTING RESIDENTIAL UNIT INSTALLED BEHIND GARAGE WITHOUT PERMIT PER ORDINANCE 43-14. 146-15	ALEXANDE				Inner Sunset		Inner Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 7	(37.76076710660, -122.47618795500)
APN 3520031	0	BP FILED	12/09/2015	1455 FOLSOM ST		2015-013268PRJ	201512094546	0	0	0	0			$1000000.00	SCHOOL	17650	17650	17650	17650	0	0	0	0	0	0	0	0	0	0	12/09/2015		CONVERT INDUSTRIAL BUILDING TO SCHOOL CHANGE OF USE.  ADD 2ND FLOOR INTERNAL TO ENVELOP OF EXISTIG BUILDING, NOT ENLARGING ENVELOP (MAHER ORDINANCE -EXTENDED - ROUTE TO HEALTH FOR COMPLIANCE WITH ORDINANCE NO.155-13)	RSUCRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Western SoMa (EN); South of Market	South of Market	55-X	WMUG	WSOMA MIXED USE-GENERAL	SUPERVISORIAL DISTRICT 6	(37.77193841220, -122.41321893400)
APN 0572013	0	BP FILED	05/27/2014	1458 BROADWAY		2014-002834PRJ	201405276744	8	8	0	0			$800000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/27/2014		"

CONSTRUCT N/6 STORIES RESID'L OCCUP. BLDG CHANGE OF USE & VERTICAL ADDITION TO CONVERT A 2 UNIT STORY BLDG W/G/F PARKING & 2/F COMM'L OFFICE SPACE INTO A 6 STORY BLDG W/A G/F GARAGE FOR 8 CARS, 8 BICYCLE SPACES & 8 RESIDENTIAL UNITS ABOVE. PROPOSAL ALS"	NFOSTER	Under Review	Under Review	Under Review	Russian Hill		Northeast	65-A	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	SUPERVISORIAL DISTRICT 3	(37.79633951570, -122.42108681800)
APN 1222014	1	BP APPROVED	05/27/2016	1460 PAGE ST			201512215664	3	1	0	0			$683000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/21/2015		RENOVATION OF TOP 3 FLOORS. INCLUDING INSTALLATION OF 3RD DWELLING UNIT AT TOP FLR. EGRESS IMPROVEMENTS. NEW DORMERS AT ATTIC LEVEL. NO EXPANSION OF BUILDING ENVELOPE PROPOSED (NO ADDITIONS). COMPLY WITH COMPLAINT#199921637. LEGALIZE GROUND FLOOR UNIT (1	EOROPEZA				Haight Ashbury		Buena Vista	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.77150991320, -122.44490359600)
APN 0503021	0	BP FILED	04/22/2014	1463 LOMBARD ST		2013	201404223881	14	14	2	2	On-site BMR Project	Ownership	$4000000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2014		TO ERECT 4 STORIES 14 DWELLING UNITS TYPE IIIA .	MWOODS	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Marina		Marina	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 2	(37.80085891050, -122.42549628000)
APN 3532013	0	PL FILED	06/28/2016	1463 STEVENSON ST	344 14TH ST	2014		45	45	0	0			$0.00		24765	24765	0	0	0	0	0	0	19025	19025	5740	5740	0	0	06/16/2014	For 344 - 14th Street: proposing to construct a mixed-use building with 45  residential units, 5,849 sq.ft. of retail. For 1463 Stevenson Street: proposing to construct a building with 18,995 sq.ft. of ground floor PDR space and 47 parking spaces.		AA CONV	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 9	(37.76845891530, -122.42109368600)
APN 4789014	0	BP FILED	12/11/2015	1465 REVERE AV			201512114902	2	1	0	0			$8000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/11/2015		LEGALIZE EXISTING KITCHEN ON GROUND FLOOR TO and add one RESIDENTIAL UNIT	SAMONSKY				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.73005099070, -122.38784938900)
APN 5324010	0	BP FILED	02/23/2016	1466 PALOU AV		2016-002845PRJ	201602230257	2	1	0	0			$1500.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/23/2016		TO LEGALIZE (E) UNAUTHORIZED DWELLING UNIT UNDER UNDER ORD #43-14.	JIMENEZS	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.73274956390, -122.38819993000)
APN 0185029	0	PL FILED	07/10/2013	1469 PACIFIC AV		2013	201210313210	9	9	0	0			$2000000.00	APARTMENTS	1120	-9303	0	0	0	0	1120	-537	0	-8766	0	0	0	0	10/31/2012	Multi-unit residential. Changing industrial into apartment building	CONVERT WAREHOUSE BLDG TO 9 UNIT RESID, 21 OFF-STREET PARKING SPACE, RETAINS EAST, SOUTH & WEST WALLS, DEMOLISH FRONT FACADE. CONSTRUCT 10-FOOT GARAGE PODIUM WITH THREE-STORIES OF RES'D ABOVE, 2 SEPARATE RES'D STRUCTURE W/MID-LOT OPEN SPACE, FRONT STRUCT	TBLOMGRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Nob Hill		Northeast	40-X	NCD	PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 3	(37.79506103820, -122.41942478000)
APN 0776035	1	CONSTRUCTION	06/15/2016	1470 MCALLISTER ST			201302150317	3	3	0	0			$1356000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/15/2013		ERECT 4-STORY THREE DWELLING UNITS TYPE V NEW MULTIFAMILY DWELLING	GCABRERO				Western Addition		Western Addition	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 5	(37.77827589130, -122.43639816800)
APN 1806019A	1	BP ISSUED	03/12/2015	1474 48TH AV		2014	201309126610	2	1	0	0			$300000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/12/2013	REAR HORIZONTAL ADDITON OF TWO STORY BUILDING. PROVIDE ADDITIONAL DWELLING UNIT AT GROUND FLOOR.	REAR HORIZONTAL ADDITON OF TWO STORY BUILDING. PROVIDE ADDITIONAL DWELLING.	MBOUDREA	Closed	Closed	Closed	Outer Sunset	Western Shoreline	Outer Sunset	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 4	(37.75896644250, -122.50764241900)
APN 1827013A	1	CONSTRUCTION	06/17/2016	1477 26TH AV			201411212191	2	1	0	0			$80000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/21/2014		LEGALIZE IN-LAW UNIT AT FIRST FLOOR PER ORDINANCE 43-14.	KCONNER				Outer Sunset		Outer Sunset	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 4	(37.75991021760, -122.48472371600)
