PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Mixres	APN 0028014	1255- 1275 COLUMBUS AV		BP ISSUED	04/22/2014	-1	20	20	0	0	201306149565	TO ERECT 4 STORIES, NO BASEMENT, 20 UNITS APARTMENTS WITH COMMERCIAL AND PARKING BUILDING.		2008.0723	Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.	6500	-9352	0	0	0	0	0	-15852	0	0	6500	6500	0	0	07/29/2009	Bruce Baumann	Bruce Baumann	415.551.7884	CFORDHAM	Russian Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Northeast	Fisherman's Wharf / Northeast Waterfront	40-X	C-2	COMMUNITY BUSINESS	(37.80570805860, -122.41837966600)
Resident	APN 0645003	1335 LARKIN ST		PL FILED	07/23/2014	0	20	20	0	0	201403100361	RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A		2013.0491	Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/10/2014	Anthony Pantaleoni	Tony Pantaleoni	415-495-4051	LLYNCH	Nob Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		65-A	NCD	POLK STREET NEIGHBORHOOD COMMERCIAL	(37.79033011470, -122.41930836400)
Resident	APN 3546026	449 14TH ST		BP FILED	03/17/2014	0	20	20	0	0	201403170944	CHANGE OF USE FROM ASSEMBLY TO GROUP HOUSING. INSTALL INTERIOR PARTITIONS TO CREATE 10 NEW BEDROOMS	MISC GROUP RESIDNS.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/17/2014					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN)	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	(37.76780880310, -122.42325364200)
Mixres	APN 3995007	2092 03RD ST / 600 18TH ST		PL FILED	09/30/2014	0	18	18	0	0	201507171867			2014.0168	The proposed project involves the demolition of the existing buildings and construction of a new six-story, 68-foot-tall (84-foot-tall with mechanical penthouse), 20,540-square-foot building consisting of 18 dwelling units, 3,064 square feet of ground-fl	3065	935	0	0	0	0	0	0	0	0	3065	935	0	0	09/30/2014	Michael Leavitt	Michael Leavitt	415-674-9100	KDURANDE	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Central Waterfront (EN)	68-X	UMU	URBAN MIXED USE	(37.76318810420, -122.38908918000)
Mixres	APN 0101004	1731 - 1741 POWELL ST		BP ISSUED	02/24/2015	-1	19	18	0	0	200908124639	PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH	THEATER	2007.1117	The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.	3525	-11795	0	0	0	0	0	0	0	0	3525	-11795	0	0	12/15/2008				TFRYE	Russian Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	NCD	NORTH BEACH NEIGHBORHOOD COMMERCIAL	(37.80068262270, -122.41128750400)
Resident	APN 0814020	100 VAN NESS AVE (ADDL 18 UNITS)	100 VAN NESS AVE, ADDL 18 UNITS	BP FILED	10/10/2014	0	418	18	2	2	201410108636	1)CORRECT APPLN #201208026344 THE ORIGINAL UNIT COUNT FROM 399 TO 400 UNITS COUNT. 2) REVISION TO APPROVED BPA #201208026344 TO ADD 18 ADDITIONAL UNITS TO THE UNFINISHED NORTHSIDE OF LEVEL 3-9 & TO COMPLETE THE CURTAIN WALL ON THE NORTH & PORTION OF THE	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/18/2014				KCONNER	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Market and Octavia / Downtown	120/200-R-2	C-3-G	DOWNTOWN- GENERAL	(37.77672111210, -122.41917732500)
Resident	APN 4008002	540 DE HARO ST		PL FILED	07/03/2014	0	17	17	0	0				2014.0599	The proposed project would demolish an existing two-story (7,147 sq.ft.) industrial building and construct a four-story, 40 feet tall residential building.  The existing building on the 10,000 sq.ft. lot was constructed in 1975.  The proposed new buildin	0	-7147	0	0	0	0	0	0	0	-7147	0	0	0	0	07/03/2014	Aaron Schlechter	Aaron Schlechter	988-1080	KDURANDE	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	UMU	URBAN MIXED USE	(37.76290707700, -122.40173211600)
Resident	APN 7148040	ONE CAPITOL AV	ONE CAPITOL AV (REMAINING UNITS)	CONSTRUCTION	01/14/2016	-1	17	17	17	17	201211284953	Multiple Permits		2009.0112	Vacant former ROW parcel (.98 ac) for 28 SFH with drive aisle yard, 41,320-gsf, 44 parking.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/28/2010	Deny Sepaher	Steven Vettel	415 954 4902	JBATTIS	Ocean View	CASE TRACKING	SUPERVISORIAL DISTRICT 11	Ingleside		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.71093100220, -122.46024012900)
Resident	APN 0306020	555 POST ST		BP ISSUED	01/04/2016	-1	81	17	0	0	201504224344	FLRS:  4-7; THE PROJECT SCOPE OF WORK CONSIST OF CONVERTING (E) SUITES INTO SEPARATE GUESTROOMS,INTE	TOURIST HOTEL/MOTEL			0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2015					Downtown/Civic Center	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Downtown	Downtown	80-130-F	C-3-G	DOWNTOWN- GENERAL	(37.78768282700, -122.41094321600)
Mixres	APN 0041001	2293 POWELL ST	311 BAY ST	PL FILED	06/16/2014	0	17	17	0	0	201508103804			2013.0341	The proposed project would remove an existing vacant structure previously containing ground floor restaurant and second floor office and merge 2 lots into single parcel.  The project would construct a new 4-story over basement concrete structure with bel	4886	-1989	0	0	0	0	0	0	0	0	4886	-1989	0	0	06/16/2014	Ian Birchall	Ian Birchall	512-9660	NFOSTER	North Beach	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	C-2	COMMUNITY BUSINESS	(37.80561720190, -122.41219978900)
Mixres	APN 5470002	6424 3RD ST / 1088 KEY AV		PL FILED	12/31/2015	0	17	17	0	0	201512316257	TO ERECT 4 STORIES OF 17 DWELLING UNITS WITH COMMERCIAL ON GROUND FLOOR - MAHER ORDINANCE - EXTENDED	APARTMENTS	2014.1058	Demolish 1.5 story commercial structure, currently used as a funeral home, and construct four-story building with 17 residential units over 2,121 sf retail and 17 parking spaces on ground floor.	2121	-1479	0	0	0	0	0	0	0	0	2121	-1479	0	0	07/03/2014	Victor Quan	Victor Quan	531-8311	SMENDRIN	Bayview	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.71984966090, -122.39716768900)
Resident	APN 3576090	3420 18TH ST		CONSTRUCTION	10/05/2015	-1	16	16	0	0	201311041054	ERECT NEW 16-UNIT 5-STORY RESIDENTIAL BLDG		2012.1572	The proposed project would demolish existing one-story commercial building and construct new five-floor building containing 16 residential units on four floors over ground floor garage containing 8 off-street parking spaces.	0	-4500	0	0	0	0	0	0	0	-4500	0	0	0	0	03/25/2013	David Sternberg	David Sternberg	882-9783 x11	BBENDIX	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	55-X	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76200424840, -122.41998607500)
Resident	APN 3780001	502 07TH ST		BP FILED	05/29/2015	0	16	16	0	0	201505297549	ERECT 5 STORIES OF 16 RES'D DWELLING UNIT.	APARTMENTS	2015-007227PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/29/2015					South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Showplace Square/Potrero Hill (EN) / South of Market	48-X	UMU	URBAN MIXED USE	(37.77399389340, -122.40478807300)
Resident	APN 3511015	1532 HOWARD ST		BP FILED	05/30/2014	0	15	15	0	0	201405307085	ERECT 6-STORY, TYPE 1, 15 DWELLING UNITS BUILDING. COMPLIANCE W/ ORDINANCE NO. 155-13 NOT REQUIRED.		2013.1305	Demolition of an existing one-story commercial building and the proposed new construction of a six-story residential building with 15 single room occupancy units.	0	-1482	0	0	0	0	0	0	0	0	0	-1482	0	0	11/19/2013	Aidin Massoudi	Aidin Massoudi	922-0200x105		South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Mission	Western SoMa (EN) / South of Market	55-X	WMUG	WSOMA MIXED USE-GENERAL	(37.77281762610, -122.41628426400)
Mixres	APN 3617008	1050 VALENCIA ST		CONSTRUCTION	01/07/2016	-1	15	15	0	0	201012277437	ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.		2007.1457	New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replac	2000	400	0	0	0	0	0	0	0	0	2000	400	0	0	03/12/2010	Stephen Antonaros	Stephen Antonaros	415.864.2261	JBATTIS	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN)	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.75594399060, -122.42131765200)
Mixres	APN 3753314	236 - 238 SHIPLEY ST / 77 FALMOUTH ST		CONSTRUCTION	11/02/2015	-1	15	15	2	2	201407100913	ERECT 4 STORY TYPE V 15 RESIDENTIAL UNIT & 2 COMMERCIAL OFFICE. COMPLIANCE W/ ORDINANCE NO 155-13 NOT REQUIRED.	APARTMENTS	2014.0428	"Construction of new 4 story, 17-unit mixed-use residential building with two residential/commercial ""Flex"" space units on the ground floor and mezzanine with approximately 1,800 sf.  It proposes 9 on-site, non-tandem parking spaces on mechanical parking"	1569	1569	0	0	0	0	0	0	0	0	1569	1569	0	0	03/21/2014				MPUTRA	South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Central SoMa / East SoMa (EN) / South of Market	45-X	MUR	MIXED USE-RESIDENTIAL	(37.77922783210, -122.40385748500)
Resident	APN 0506036	1727 LOMBARD ST		PL FILED	01/31/2012	0	14	14	0	0				2012.0095	Group housing for post-secondary educational institution (Academy of Art University).   Subject property contains 52 guest rooms and is currently a tourist motel.  Property features split-zoning, with front portion zoned NC-3 (group housing is principall	0	-16000	0	0	0	0	0	0	0	0	0	0	0	-16000	01/31/2012	Elisa Stephens	Bob Passmore	415-567-9872	EWATTY	Marina	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.80032139000, -122.43003137700)
Mixres	APN 2081001	3701 NORIEGA ST		PL FILED	09/20/2015	0	14	14	2	2				2014-002414PRJ	Demolish automotive service station.  Construct mixed use building with ground floor retail (grocery) and 14 upper floor dwelling units.	9635	8325	0	0	0	0	0	0	0	0	9635	8325	0	0	01/30/2015	Farella, Braun + Martel		4159544902	AHUISMAN	Outer Sunset	CASE TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	(37.75280791950, -122.50357296000)
Resident	APN 4591C070	420 INNES AV		CONSTRUCTION	10/23/2015	-1	9	9	0	0	201202295144	TO ERECT 3 STORIES, 9 UNITS RESIDENTIAL BUILDING WITH PARKING.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/29/2012					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72825254160, -122.36864516200)
Mixres	APN 1084001B	1 STANYAN ST		BP APPROVED	10/22/2015	-1	13	13	0	0	200712140534	ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING		2007.0113	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height	1700	-1807	0	0	0	0	0	0	0	0	1700	-1807	0	0	01/30/2007	John E. McInerney Esq.	Bruce Baumann	415 551-7884	SVELLVE	Inner Richmond	CASE TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.78107236200, -122.45652162400)
Resident	APN 3197010	1490 OCEAN AV		CONSTRUCTION	12/09/2015	-1	13	13	0	0	200810315636	ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.		2008.0538	Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.	0	-2500	0	0	0	0	0	0	0	0	0	-2500	0	0	05/15/2008	David Silverman			MSMITH	West of Twin Peaks	CASE TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside	Balboa Park	45-X	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	(37.72453300260, -122.45788196400)
Mixres	APN 3554003A	1924 MISSION ST		PL FILED	02/12/2015	0	13	13	0	0				2014.0449	The proposed project would demolish existing autobody shop and construct a new 13 unit apartment building with ground floor retail space.  Change of use from autobody shop to apartment building. The proposed project will have no off street parking and 16	2515	2515	2515	2515	0	0	0	0	0	0	0	0	0	0	03/21/2014				JSPEIRS	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	80-X	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76629884440, -122.42012072300)
Resident	APN 4591C069	198 COLEMAN ST		CONSTRUCTION	01/15/2016	-1	12	12	0	0	200912223676	TO ERECT 3 STORY TYPE 5B, 12 UNITS RESIDENTIAL WITH PARKING.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72826883310, -122.36834995100)
Resident	APN 4991600	101 EXECUTIVE PARK BL		BP FILED	10/25/2010	-1	110	12	60	60	200512281146	GRADING	APARTMENTS	2003.1113		0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/23/2003				JBANALES	Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point / Executive Park	40-X	C-2	COMMUNITY BUSINESS	(37.71267575460, -122.39544665600)
Resident	APN 3987010	140 PENNSYLVANIA AV		BP ISSUED	08/06/2014	-1	12	12	5	5	200408040564	ERECT A 5 STORIES 12 UNIT RESIDENTIAL BLDG	APARTMENTS	2011.0187		0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/04/2004				CTEAGUE	Potrero Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	UMU	URBAN MIXED USE	(37.76478238070, -122.39410864100)
Resident	APN 0843016	690 PAGE ST		CONSTRUCTION	12/11/2015	-1	12	12	1	1	201305217457	Multiple Permits	APARTMENTS	2012.0909	The proposal is to demolish the existing single-story, non-residential building and construct four, three-unit residential buildings. The project includes subdivision of the corner lot into four parcels.	0	-2048	0	-2048	0	0	0	0	0	0	0	0	0	0	05/21/2013				CLAMOREN	Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Buena Vista		40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.77306436070, -122.43203185400)
Resident	APN 3526005	520 09TH ST		CONSTRUCTION	01/12/2016	-1	12	12	0	0	201312124038		APARTMENTS	2013.0066	The proposed project would result in the construction of a new 12-unit (2 bedroom each) building on a vacant lot, currently used as vehicle parking. Open space would be provided on common roof deck, and two private rear decks on the second floor.  The pr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/21/2013	Gabriel  Ng	Gabriel  Ng	415-682-8060		South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Showplace Square/Potrero Hill (EN)	40-X	UMU	URBAN MIXED USE	(37.77078146350, -122.40832332800)
Resident	APN 4591C098	200 COLEMAN ST		CONSTRUCTION	01/07/2016	-1	12	12	0	0	200912223674	TO ERECT 3 STORY TYPE 5 12 UNITS RESIDENTIAL WITH PARKING	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72764788760, -122.36890925200)
Resident	APN 4591C094	201 FRIEDELL ST		CONSTRUCTION	12/04/2015	-1	12	12	0	0	200912223677	TO ERECT 3 STORY TYPE 5 12 UNITS RESIDENTIAL WITH PARKING	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2009					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72813840330, -122.36977251600)
Resident	APN 2347004G	2350 19TH AV		BP ISSUED	07/11/2014	-1	10	10	0	0	200708079019	Multiple Permits		2007.0178	The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/16/2007	San Franc	Chris Fol	577-9885	INISHIMU	Parkside	manual	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.74403844720, -122.47536814300)
Resident	APN 6800045	2 TINGLEY ST		BP FILED	07/09/2015	0	10	10	0	0	201507091031	ERECT A FOUR STORY 10 DWELLING UNITS AND COMMERCIAL RETAIL MIXED USE BUILDING.	APARTMENTS	2014.1125		0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/09/2015					Outer Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	South Central		40-X	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	(37.72845667520, -122.43189885300)
Resident	APN 4591C078	10 INNES CT		BP ISSUED	06/29/2015	-1	31	10	0	0	201412194135	ALTERED SITE  ADDED ADDITIONAL FLOOR WENT FROM 21 UNITS TO 31 UNITS. ORIGINAL PA#201309277920.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/19/2014					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Hunters Point Shipyard	HP-RA	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.72799618700, -122.36804862200)
Mixres	APN 5457037	2895 SAN BRUNO AV		BP ISSUED	08/19/2013	-1	10	10	1	1	201209270766			2010.0627	convert gas station to 5 four story mixed use buildings on 11,250 sqft lot. The project would include new construction of a 5 four-story mixed-use buildings with 10 residential units, 4,230 sq.ft. of retail, and 6,748 sq.ft. of office.	10978	10978	0	0	0	0	6748	6748	0	0	4230	4230	0	0	07/29/2010				BFU	Excelsior	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	South Central		40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	(37.72554114780, -122.40244871400)
Resident	APN 0317005	436 OFARRELL ST		BP APPROVED	01/06/2016	-1	9	9	0	0	200808058406	CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS	APARTMENTS	2009.0258	Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSU	0	-9709	0	0	0	0	0	-9709	0	0	0	0	0	0	08/05/2008				PLAVALLE	Downtown/Civic Center	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T-130-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78610611410, -122.41199872800)
Mixres	APN 0339006	130 TURK ST		CONSTRUCTION	11/04/2013	-1	9	9	0	0	200605232239	CONVERSION OF (E) 3 STORY OVER BASEMENT BLDG. TO A 5 STORY OVER BASEMENT BLDG. WITH G/F OFFICE PSACE, 9 RESIDENTIAL UNITS AT UPPER FLOORS AND PARKING AT BASEMENT. THE HISTORICAL FACADE AT TURK STREET TO BE RESTORED WITH NEW G/F STORE FRONT AND GARAGE DOO		2005.031	"convert vacant commercial building (retail / bathhouse) to up to 28 dwelling units (needs ""EE"")"	4999	-6116	0	0	0	0	0	0	0	0	4999	-6116	0	0	03/30/2005	Suheil Shatara	Suheil Shatara	512 - 7566	JMILLER	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T-120-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78341313260, -122.41145716300)
Resident	APN 0871004	1870 MARKET ST		BP FILED	05/01/2015	0	9	9	0	0	201505015151	ERECT AN 8 STORY 9 RESIDENTIAL UNITS AND COMMERCIAL BUILDING.	APARTMENTS	2014.106		0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2015					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista	Market and Octavia	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	(37.77126139230, -122.42467252000)
Mixres	APN 0185029	1469 PACIFIC AV		PL FILED	07/10/2013	0	9	9	0	0	201210313210	CONVERT WAREHOUSE BLDG TO 9 UNIT RESID, 21 OFF-STREET PARKING SPACE, RETAINS EAST, SOUTH & WEST WALL		2013.0915	Multi-unit residential. Changing industrial into apartment building	1120	-9303	0	0	0	0	1120	-537	0	-8766	0	0	0	0	10/31/2012	Paul Bogatsky	Gary Gee	415-863-8881	TBLOMGRE	Nob Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	NCD	PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL	(37.79506103820, -122.41942478000)
Resident	APN 0694003	1033 POLK ST		PL FILED	06/17/2015	0	9	9	0	0				2014.0914	Build a new 8 story residential mixed-use building to the rear of an existing historic building.  The proposed program is for ground floor and second floor commercial/office space (3,175 sq.ft.) and 6 levels of residential space totaling 7,260 sq.ft. net	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/09/2014					Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Downtown	Van Ness Corridor	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78643416180, -122.42006518100)
Mixres	APN 1408001	301 25TH AV		PL FILED	06/17/2015	0	9	9	0	0				2014.0952PRJ	Demolish existing structures.  Subdivide into 3 parcels.  Lot 1:  4-story building with retail and parking at ground floor; residential and open space at floors 2, 3 & 4.  Lots 2 & 3:  4-story building with parking and open space at ground floor and resi	24718	23696	0	0	0	0	0	0	24718	23696	0	0	0	0	04/09/2015	Double AA Corp.	Wisfe Aish	650-589-7722	SLAI	Outer Richmond	CASE TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	(37.78362465120, -122.48526077500)
Mixres	APN 3576062	645 VALENCIA ST		PL FILED	01/30/2014	0	9	9	0	0				2013.1339	The proposed project would construct a new mixed use commercial/residential building and demolition an existing commercial building. The new building would be 55 feet tall with 868 square-feet of ground floor commercial; 5 residential parking spaces; and	868	-4382	0	0	0	0	0	0	0	0	868	-4382	0	0	01/30/2014	Toby Morris	Edward Morris	415-749-0302	TSHEYNER	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76249991960, -122.42137303500)
